Mapeamento Stakeholders CENA
"Nº","Stakeholder","Categoria","Influências POSITIVAS","Influências NEGATIVAS / Riscos","Grau de PODER","Grau de INTERESSE","Quadrante","Estratégia de Engajamento"
"1","Artistas Individuais","Usuário Primário","Criatividade, interesse em colaborar, conhecimento prático do ecossistema, multiplicadores de engajamento","Dificuldades com burocracia, resistência a tecnologia, baixa disponibilidade de tempo, expectativas irreais de retorno imediato","BAIXO","ALTO","Gerenciar de Perto","Comunicação acessível e frequente, suporte técnico simplificado, conteúdo educativo, canais WhatsApp segmentados"
"2","Coletivos Culturais","Usuário Primário","Organização coletiva, experiência em projetos, capacidade de mobilização, validação comunitária da plataforma","Heterogeneidade de necessidades, conflitos internos, dependência de lideranças específicas","MÉDIO","ALTO","Gerenciar de Perto","Co-criação participativa, workshops de validação, canal exclusivo de feedback, benefícios early adopter"
"3","Trabalhadores Técnicos (Som, Luz, Produção)","Usuário Primário","Viabilizam meios práticos na produção, rede de contatos, conhecimento técnico especializado","Custos extras potenciais, sazonalidade de demanda, informalidade predominante","BAIXO","ALTO","Gerenciar de Perto","Cadastro especializado, vitrine de serviços técnicos, conexão com oportunidades de trabalho"
"4","Produtores Executivos","Usuário Primário","Experiência em gestão e captação, rede de contatos institucional, conhecimento de editais e processos","Resistência a mudanças, possível conflito de interesse com modelo tradicional de intermediação","MÉDIO","ALTO","Gerenciar de Perto","Autonomia nas decisões, ferramentas de gestão, acesso prioritário a oportunidades"
"5","SECULT Recife","Parceiro Institucional","Financiamento, legitimidade institucional, acesso a dados do Mapa da Cultura, título UNESCO Cidade Criativa","Interesses políticos, mudanças de gestão, burocracia, dependência excessiva pode limitar autonomia","ALTO","ALTO","Parceiro Estratégico","Parceria formal, alinhamento constante, relatórios de impacto, co-desenvolvimento de funcionalidades"
"6","SECULT-PE (Estadual)","Parceiro Institucional","Escala estadual, recursos de fomento, articulação com municípios do interior","Prioridades políticas diferentes, competição por visibilidade com secretarias municipais","ALTO","MÉDIO","Manter Satisfeito","Relacionamento institucional, demonstração de valor para expansão estadual, dados agregados"
"7","Ministério da Cultura","Parceiro Institucional","Financiamento em larga escala, políticas nacionais, legitimidade para expansão Brasil","Distância da realidade local, interesses políticos, burocracia federal intensa","ALTO","BAIXO","Monitorar","Acompanhar editais e políticas, posicionar CENA como solução para metas nacionais"
"8","UFPE / Academia","Parceiro Institucional","Apoio metodológico, credibilidade acadêmica, acesso a pesquisas e estudantes, validação científica","Tempo acadêmico diferente do mercado, exigências de publicação podem conflitar com agilidade","MÉDIO","MÉDIO","Manter Informado","Parceria de pesquisa, estágios, validação metodológica, co-autoria de estudos"
"9","FACEPE / SUDENE","Financiador","Recursos financeiros para P&D, legitimidade para inovação, rede de startups apoiadas","Compliance rigoroso, prestação de contas complexa, prazos rígidos","ALTO","BAIXO","Manter Satisfeito","Compliance impecável, relatórios técnicos, entregas no prazo, comunicação proativa de riscos"
"10","Universitários (Cultura/Artes/Design)","Comunidade","Energia, disponibilidade, inovação, futuros profissionais do setor, multiplicadores","Rotatividade alta, inexperiência, expectativas desalinhadas com mercado","BAIXO","ALTO","Manter Informado","Programas de estágio, conteúdo educativo, trilhas de capacitação, eventos em universidades"
"11","Professores de Cultura/Artes","Comunidade","Formadores de opinião, rede de alunos, conhecimento teórico, credibilidade","Resistência a mudanças pedagógicas, tempo limitado, visão às vezes desconectada do mercado","MÉDIO","MÉDIO","Manter Informado","Parcerias para workshops, conteúdo para sala de aula, validação metodológica"
"12","Empreendedores Culturais","Comunidade","Visão de negócio, experiência em sustentabilidade financeira, rede de contatos comerciais","Foco em lucro pode conflitar com missão social, competição potencial","MÉDIO","ALTO","Gerenciar de Perto","Funcionalidades premium, networking, cases de sucesso, co-desenvolvimento B2B"
"13","Equipe CENA (Guiba, Eva, Sabrina, Pedro, Ricardo)","Equipe Interna","Conhecimento profundo do projeto, comprometimento, multidisciplinaridade, rede de contatos","Recursos limitados, sobrecarga de trabalho, dependência de pessoas-chave","ALTO","ALTO","Decisões Colaborativas","Comunicação constante, divisão clara de responsabilidades, celebração de conquistas"
"14","Contratantes de Serviços Culturais (Empresas/Eventos)","Mercado","Demanda por serviços, recursos financeiros, validação de mercado","Exigências de formalização, prazos apertados, possível exploração de artistas","MÉDIO","MÉDIO","Manter Informado","Marketplace de talentos, garantias de qualidade, simplificação de contratação"
"15","Plataformas Concorrentes (Sympla, Prosas, etc.)","Mercado","Benchmarking, possíveis parcerias de integração, validação do mercado","Competição por usuários, recursos superiores, possível cópia de funcionalidades","MÉDIO","BAIXO","Monitorar","Diferenciação clara, foco em nichos não atendidos, possíveis integrações via API"
